Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/analytics/fields,3226,3226,4,3.8500925914107063,1.1521000051288866,65.98030000168364,0.0,27.118168715582655,27.118168715582655,4,4,5,5,6,6,7,8,26,66,66
GET,/api/v1/analytics/fields/1,117,117,4,3.9541264960485605,1.5519000007770956,8.148000000801403,0.0,0.9835169682960851,0.9835169682960851,4,5,5,5,6,6,7,7,8,8,8
GET,/api/v1/analytics/fields/2,125,125,4,4.000801599933766,1.1914999995497055,23.522300005424768,0.0,1.0507659917693217,1.0507659917693217,4,4,5,5,6,6,13,14,24,24,24
GET,/api/v1/analytics/fields/3,124,124,4,3.8042032262432435,1.259800003026612,15.100299999176059,0.0,1.0423598638351672,1.0423598638351672,4,4,5,5,6,6,8,9,15,15,15
GET,/api/v1/analytics/fields/4,129,129,4,3.7918937983746686,1.2769000022672117,9.54009999986738,0.0,1.08439050350594,1.08439050350594,4,4,5,5,5,7,7,8,10,10,10
GET,/api/v1/analytics/fields/5,137,137,4,3.8053248176201633,1.3283000007504597,9.14069999998901,0.0,1.1516395269791766,1.1516395269791766,4,4,5,5,6,7,8,8,9,9,9
GET,/api/v1/analytics/start,1254,1254,4,3.7944144337307426,1.1378999988664873,42.16570000426145,0.0,10.541284429429835,10.541284429429835,4,4,5,5,6,6,8,9,19,42,42
POST,/api/v1/predict/disease,641,641,4,3.907219344822148,1.1688000013236888,23.63810000679223,0.0,5.388328005793082,5.388328005793082,4,4,5,5,6,6,7,8,24,24,24
,Aggregated,5753,5753,4,3.8463514687829212,1.1378999988664873,65.98030000168364,0.0,48.360454005191265,48.360454005191265,4,4,5,5,6,6,7,8,24,66,66
